seller_type,seller_age_days,total_completed_tasks,seller_trust_score,task_type,is_duplicate_screenshot,completion_duration,timing_risk_score,std_dev,seller_average,z_score,population_score,timing_consistency_score,validity_score,logical_behavior_flag,final_behavior_risk_score,repetitive_behavior_flag,device_seller_count,ip_seller_count,device_sharing_score,ip_reuse_score,automation_score,device_risk_score,fraud_label
new,13,7,22,Follow,0,102.11,0,95.09,82.84,0.2,1.0,5.98,0,0,6.99,0,3,4,24,18,0,42,0
new,4,2,35,Like,0,47.2,4,104.31,64.43,-0.16,0.82,4.14,0,0,4.96,0,1,3,0,12,0,12,0
experienced,275,416,88,Follow,0,10.77,8,65.01,14.98,-0.06,0.32,12.0,0,0,12.32,0,2,2,12,6,5,23,0
power,323,14424,99,Comment,0,42.39,2,32.61,46.33,-0.12,0.59,18.48,0,0,19.06,0,2,2,12,6,0,18,0
experienced,131,319,77,Like,0,27.1,1,90.72,24.47,0.03,0.14,6.86,0,0,7.0,0,2,1,12,0,0,12,0
beginner,45,23,40,Follow,0,65.8,3,74.02,75.96,-0.14,0.68,10.2,0,0,10.87,0,2,2,12,6,5,23,0
beginner,22,32,49,Like,0,26.2,5,106.4,27.23,-0.01,0.05,3.72,0,0,3.77,0,1,2,0,6,0,6,0
beginner,27,22,43,Comment,0,135.82,8,29.75,170.22,-1.12,5.59,19.05,0,0,24.64,0,1,2,0,6,0,6,0
new,5,4,39,Comment,0,157.69,7,81.43,209.58,-0.63,3.15,8.71,0,0,11.86,0,3,3,24,12,0,36,0
fraud,87,217,29,Comment,0,67.4,4,7.06,83.13,-1.95,9.76,23.59,0,0,33.35,0,1,8,0,42,20,62,1
power,512,2668,82,Like,0,8.49,10,14.62,8.06,0.03,0.14,22.08,0,0,22.21,0,4,3,36,12,0,48,0
new,4,5,43,Like,0,27.78,3,89.0,26.41,0.02,0.08,7.2,0,0,7.28,0,1,1,0,0,0,0,0
fraud,369,341,52,Follow,0,9.43,8,61.57,7.21,0.04,0.18,12.69,0,0,12.86,0,5,5,48,24,50,122,1
power,447,9176,95,Follow,0,18.01,1,14.84,20.96,-0.19,0.93,22.03,0,0,22.96,0,2,1,12,0,5,17,0
experienced,196,559,76,Like,0,15.58,5,103.24,15.25,0.0,0.02,4.35,0,0,4.37,0,2,3,12,12,0,24,0
beginner,56,87,51,Follow,0,53.3,2,40.88,44.56,0.21,1.04,16.82,0,0,17.87,0,2,2,12,6,0,18,0
beginner,58,79,63,Like,0,35.08,8,79.18,27.29,0.1,0.49,9.16,0,0,9.65,0,2,1,12,0,0,12,0
experienced,282,829,72,Comment,0,100.68,5,71.8,74.84,0.35,1.77,10.64,0,0,12.41,0,2,3,12,12,0,24,0
beginner,26,77,43,Like,0,32.65,6,34.95,29.44,0.09,0.45,18.01,0,0,18.46,0,1,3,0,12,0,12,0
new,4,0,50,Follow,0,76.03,5,107.78,86.27,-0.09,0.47,3.44,0,0,3.92,0,2,3,12,12,0,24,0
experienced,277,637,86,Comment,0,40.81,7,99.31,40.12,0.01,0.03,5.14,0,0,5.17,0,2,3,12,12,0,24,0
experienced,84,498,82,Follow,0,58.11,2,55.9,45.8,0.22,1.08,13.82,0,0,14.9,0,1,3,0,12,0,12,0
beginner,38,25,46,Comment,0,165.73,4,71.63,215.91,-0.69,3.45,10.67,0,0,14.13,0,2,3,12,12,0,24,0
new,10,0,42,Follow,0,79.16,14,116.3,77.89,0.01,0.05,1.74,0,0,1.79,0,1,3,0,12,5,17,0
experienced,260,836,90,Like,0,38.11,5,55.15,45.7,-0.14,0.68,13.97,0,0,14.65,0,1,2,0,6,0,6,0
new,13,4,42,Comment,0,317.56,2,93.58,252.81,0.68,3.42,6.28,0,0,9.71,0,2,6,12,30,0,42,0
beginner,41,96,45,Comment,0,100.19,8,81.92,138.68,-0.46,2.32,8.62,0,0,10.94,0,2,3,12,12,0,24,0
new,1,9,50,Like,0,87.76,6,82.68,75.21,0.15,0.75,8.46,0,0,9.21,0,2,1,12,0,0,12,0
experienced,102,861,67,Comment,0,78.35,5,99.95,57.05,0.21,1.05,5.01,0,0,6.06,0,2,3,12,12,5,29,0
experienced,211,702,66,Like,0,36.41,0,99.09,30.71,0.06,0.28,5.18,0,0,5.47,0,3,5,24,24,0,48,0
experienced,87,975,68,Follow,0,44.87,3,18.46,62.47,-0.9,4.52,21.31,0,0,25.83,0,1,1,0,0,0,0,0
experienced,71,284,87,Comment,0,82.48,7,107.15,94.2,-0.11,0.54,3.57,0,0,4.11,0,2,4,12,18,0,30,0
experienced,183,733,77,Like,0,23.01,8,86.13,29.95,-0.08,0.4,7.77,0,0,8.17,0,2,7,12,36,0,48,0
power,1324,3677,86,Like,0,14.23,5,12.42,14.94,-0.05,0.26,22.52,0,0,22.78,0,2,1,12,0,0,12,0
beginner,56,28,46,Follow,0,95.7,7,35.31,83.35,0.34,1.7,17.94,0,0,19.64,0,2,2,12,6,0,18,0
new,14,6,31,Follow,0,115.31,0,98.63,83.2,0.32,1.61,5.27,0,0,6.89,0,1,3,0,12,0,12,0
beginner,16,16,46,Like,0,43.9,7,18.27,39.9,0.21,1.04,21.35,0,0,22.38,0,1,1,0,0,5,5,0
beginner,34,48,68,Like,0,33.12,7,41.83,34.44,-0.03,0.15,16.63,0,0,16.79,0,2,1,12,0,0,12,0
beginner,28,56,66,Like,0,31.14,7,99.41,36.72,-0.06,0.28,5.12,0,0,5.4,0,2,3,12,12,5,29,0
experienced,91,939,85,Follow,0,58.96,11,17.2,67.2,-0.45,2.26,21.56,0,0,23.82,0,3,7,24,36,0,60,0
new,2,7,29,Like,0,64.61,6,40.3,88.97,-0.59,2.95,16.94,0,0,19.89,0,2,1,12,0,0,12,0
experienced,216,364,73,Comment,0,41.41,3,23.28,48.79,-0.3,1.52,20.34,0,0,21.86,0,1,1,0,0,0,0,0
new,11,8,45,Like,0,29.97,6,109.55,27.59,0.02,0.11,3.09,0,0,3.2,0,1,3,0,12,0,12,0
experienced,280,600,65,Comment,0,126.53,5,20.8,169.94,-1.99,9.95,20.84,0,0,30.79,0,1,3,0,12,5,17,0
experienced,83,876,90,Like,0,32.18,4,22.39,40.31,-0.35,1.74,20.52,0,0,22.26,0,2,3,12,12,5,29,0
new,12,5,30,Comment,0,288.49,0,107.42,245.62,0.4,1.98,3.52,0,0,5.49,0,1,3,0,12,0,12,0
experienced,269,292,71,Like,0,8.96,9,118.66,6.5,0.02,0.1,1.27,0,0,1.37,0,1,1,0,0,0,0,0
beginner,56,69,52,Follow,0,62.79,6,119.45,48.67,0.12,0.59,1.11,0,0,1.7,0,2,3,12,12,5,29,0
experienced,216,447,77,Follow,0,57.54,3,29.52,52.33,0.17,0.85,19.1,0,0,19.95,0,2,3,12,12,0,24,0
new,5,2,42,Comment,0,82.21,2,43.95,90.99,-0.2,0.98,16.21,0,0,17.19,0,1,1,0,0,0,0,0
experienced,359,512,70,Follow,0,15.5,0,45.18,18.9,-0.07,0.37,15.96,0,0,16.33,0,2,1,12,0,0,12,0
fraud,454,424,46,Comment,0,8.96,7,39.33,9.33,-0.01,0.05,17.13,0,0,17.18,0,4,3,36,12,10,58,1
experienced,212,563,90,Follow,0,11.07,24,22.11,10.95,0.01,0.03,20.58,0,0,20.6,0,1,1,0,0,0,0,0
fraud,298,745,11,Comment,0,14.41,3,30.1,15.7,-0.04,0.21,18.98,0,0,19.19,0,3,13,24,72,10,106,1
experienced,336,178,77,Comment,0,65.27,2,75.3,73.8,-0.11,0.56,9.94,0,0,10.5,0,2,3,12,12,0,24,0
power,672,1553,80,Comment,0,24.59,7,10.87,18.04,0.55,2.76,22.83,0,0,25.58,0,1,1,0,0,0,0,0
beginner,36,73,52,Like,0,61.14,1,17.44,77.03,-0.86,4.31,21.51,0,0,25.82,0,2,2,12,6,0,18,0
beginner,28,80,49,Like,0,30.62,2,69.4,31.02,-0.01,0.03,11.12,0,0,11.15,0,2,2,12,6,5,23,0
new,14,9,47,Like,0,42.07,0,27.68,42.86,-0.03,0.14,19.46,0,0,19.6,0,2,3,12,12,0,24,0
new,3,0,29,Follow,0,60.73,7,119.86,74.97,-0.12,0.59,1.03,0,0,1.62,0,1,1,0,0,0,0,0
experienced,148,593,69,Comment,0,53.03,20,39.18,37.59,0.38,1.92,17.16,0,0,19.09,0,2,1,12,0,0,12,0
experienced,325,602,81,Like,0,34.61,4,79.73,26.75,0.1,0.49,9.05,0,0,9.54,0,1,3,0,12,0,12,0
experienced,261,953,81,Like,0,27.66,1,27.05,33.17,-0.2,0.98,19.59,0,0,20.57,0,3,4,24,18,0,42,0
experienced,253,979,69,Like,0,38.96,3,31.59,51.94,-0.4,1.99,18.68,0,0,20.67,0,1,2,0,6,5,11,0
beginner,53,53,60,Like,0,48.06,5,103.91,52.07,-0.04,0.19,4.22,0,0,4.41,0,1,1,0,0,0,0,0
beginner,51,24,59,Comment,0,124.68,6,76.37,108.28,0.21,1.06,9.73,0,0,10.79,0,1,2,0,6,0,6,0
power,783,9658,80,Comment,0,68.15,5,11.53,48.0,1.61,8.04,22.69,0,0,30.74,0,1,1,0,0,0,0,0
new,13,2,41,Like,0,95.88,5,27.85,81.94,0.48,2.41,19.43,0,0,21.84,0,2,1,12,0,5,17,0
beginner,33,16,60,Comment,0,150.85,1,89.06,171.47,-0.23,1.15,7.19,0,0,8.33,0,1,2,0,6,5,11,0
new,8,1,22,Follow,0,112.55,2,37.67,87.56,0.65,3.23,17.47,0,0,20.7,0,1,2,0,6,5,11,0
beginner,40,99,49,Comment,0,94.01,2,51.73,83.97,0.19,0.95,14.65,0,0,15.61,0,1,3,0,12,5,17,0
new,10,4,47,Like,0,54.4,13,83.43,73.18,-0.22,1.11,8.31,0,0,9.43,0,2,1,12,0,5,17,0
beginner,58,96,44,Comment,0,192.03,8,119.09,211.27,-0.16,0.8,1.18,0,0,1.98,0,2,1,12,0,0,12,0
beginner,16,67,55,Like,0,42.5,1,23.13,54.53,-0.5,2.49,20.37,0,0,22.87,0,4,8,36,42,0,78,0
experienced,209,426,90,Comment,0,34.96,6,68.12,34.46,0.01,0.04,11.38,0,0,11.41,0,2,1,12,0,0,12,0
fraud,17,976,53,Comment,0,21.58,6,87.65,29.11,-0.08,0.42,7.47,0,0,7.89,0,1,11,0,60,10,70,1
power,854,8506,83,Follow,1,17.05,2,33.58,12.69,0.13,0.63,18.28,0,0,18.91,0,2,1,12,0,0,12,0
beginner,33,57,56,Comment,0,48.08,1,90.09,63.1,-0.16,0.82,6.98,0,0,7.81,0,3,3,24,12,5,41,0
experienced,363,514,80,Like,0,31.19,1,84.21,40.46,-0.11,0.54,8.16,0,0,8.7,0,1,3,0,12,0,12,0
fraud,29,39,33,Like,1,5.91,13,68.18,6.17,-0.0,0.02,11.36,0,0,11.38,0,2,11,12,60,0,72,1
beginner,51,97,70,Comment,0,62.78,7,89.34,45.51,0.19,0.96,7.13,0,0,8.09,0,2,1,12,0,0,12,0
experienced,272,771,76,Like,0,14.19,0,42.78,10.02,0.1,0.48,16.44,0,0,16.92,0,3,6,24,30,0,54,0
power,451,3368,85,Like,0,13.27,7,10.04,13.14,0.01,0.06,22.99,0,0,23.05,0,1,2,0,6,0,6,0
fraud,275,947,42,Follow,1,22.62,2,136.11,26.75,-0.03,0.15,0.0,0,0,0.15,0,1,3,0,12,0,12,1
new,8,1,26,Follow,0,25.15,0,36.49,21.51,0.1,0.49,17.7,0,0,18.19,0,2,1,12,0,5,17,0
experienced,168,331,83,Comment,0,112.13,4,18.86,84.31,1.4,7.0,21.23,0,0,28.23,0,2,1,12,0,0,12,0
beginner,42,47,61,Like,0,34.94,8,72.9,30.9,0.05,0.27,10.42,0,0,10.69,0,1,2,0,6,5,11,0
beginner,23,41,64,Comment,0,160.89,8,96.13,198.97,-0.39,1.96,5.77,0,0,7.73,0,2,2,12,6,5,23,0
beginner,30,91,57,Like,0,51.7,8,59.18,45.41,0.1,0.52,13.16,0,0,13.69,0,2,2,12,6,0,18,0
experienced,350,424,74,Comment,0,59.45,0,71.44,50.49,0.12,0.62,10.71,0,0,11.33,0,1,2,0,6,0,6,0
new,4,5,24,Follow,0,89.25,7,75.79,94.99,-0.07,0.37,9.84,0,0,10.21,0,2,2,12,6,5,23,0
beginner,36,93,64,Like,0,48.24,3,57.23,66.33,-0.31,1.55,13.55,0,0,15.11,0,1,2,0,6,0,6,0
beginner,22,41,46,Follow,0,17.36,1,54.44,14.52,0.05,0.26,14.11,0,0,14.37,0,4,5,36,24,0,60,0
beginner,56,35,46,Follow,0,31.13,2,119.39,43.06,-0.1,0.5,1.12,0,0,1.62,0,1,3,0,12,0,12,0
beginner,56,63,46,Comment,0,141.68,7,22.08,122.32,0.84,4.19,20.58,0,0,24.78,0,1,2,0,6,0,6,0
experienced,201,516,81,Comment,0,96.31,8,30.39,105.59,-0.3,1.48,18.92,0,0,20.4,0,1,1,0,0,0,0,0
new,14,7,47,Comment,0,255.66,7,17.04,259.64,-0.22,1.11,21.59,0,0,22.7,0,2,3,12,12,0,24,0
new,11,8,46,Like,0,64.63,2,91.42,80.63,-0.17,0.87,6.72,0,0,7.58,0,2,1,12,0,0,12,0
new,14,0,36,Like,0,85.04,7,51.31,70.93,0.27,1.35,14.74,0,0,16.09,0,2,5,12,24,0,36,0
beginner,46,19,57,Like,0,37.81,5,42.65,45.03,-0.17,0.83,16.47,0,0,17.3,0,1,2,0,6,0,6,0
fraud,158,460,9,Like,0,3.56,24,138.98,4.79,-0.01,0.04,0.0,0,0,0.04,0,2,4,12,18,50,80,1
fraud,182,294,29,Like,0,7.18,16,148.25,7.51,-0.0,0.01,0.0,0,0,0.01,0,1,11,0,60,35,95,1
new,6,8,45,Follow,0,87.04,6,68.2,71.93,0.22,1.09,11.36,0,0,12.45,0,1,2,0,6,0,6,0
new,3,10,40,Like,0,55.91,3,98.39,59.98,-0.04,0.2,5.32,0,0,5.53,0,1,1,0,0,0,0,0
fraud,68,853,45,Follow,0,12.85,8,164.53,11.19,0.01,0.05,0.0,0,0,0.05,0,4,10,36,54,10,100,1
fraud,124,665,51,Like,0,1.49,32,163.42,1.51,-0.0,0.0,0.0,0,0,0.0,0,6,5,60,24,10,94,1
power,1363,10920,86,Follow,0,14.36,1,23.28,16.05,-0.07,0.35,20.34,0,0,20.69,0,2,1,12,0,5,17,0
experienced,198,951,85,Follow,0,29.38,2,64.6,40.11,-0.16,0.82,12.08,0,0,12.9,0,1,2,0,6,0,6,0
beginner,54,26,48,Comment,0,191.93,3,105.7,167.04,0.23,1.17,3.86,0,0,5.03,0,2,1,12,0,0,12,0
fraud,116,700,48,Comment,0,56.01,5,56.61,77.25,-0.37,1.84,13.68,0,0,15.52,0,10,6,108,30,20,158,1
experienced,277,411,79,Follow,0,14.97,1,30.44,11.5,0.11,0.55,18.91,0,0,19.46,0,1,2,0,6,0,6,0
new,7,6,35,Comment,0,249.05,5,101.92,258.09,-0.09,0.44,4.62,0,0,5.05,0,1,1,0,0,0,0,0
experienced,231,154,81,Follow,0,42.88,3,36.95,30.61,0.32,1.62,17.61,0,0,19.23,0,2,3,12,12,0,24,0
beginner,32,43,57,Follow,0,33.32,1,94.41,32.4,0.01,0.05,6.12,0,0,6.17,0,2,1,12,0,0,12,0
experienced,182,334,79,Follow,0,36.09,1,75.04,48.17,-0.16,0.79,9.99,0,0,10.79,0,2,3,12,12,0,24,0
experienced,293,678,85,Comment,0,119.39,1,119.13,138.46,-0.16,0.79,1.17,0,0,1.97,0,1,3,0,12,0,12,0
new,4,6,40,Comment,0,255.09,5,60.59,318.2,-1.02,5.12,12.88,0,0,18.01,0,1,3,0,12,0,12,0
experienced,274,223,68,Like,0,13.46,2,104.25,10.06,0.03,0.16,4.15,0,0,4.31,0,2,2,12,6,5,23,0
experienced,216,742,74,Like,0,18.78,1,22.85,25.65,-0.29,1.44,20.43,0,0,21.87,0,4,8,36,42,0,78,0
new,1,1,45,Like,0,35.8,3,73.27,25.69,0.14,0.68,10.35,0,0,11.03,0,4,6,36,30,0,66,0
beginner,24,15,51,Like,0,32.93,1,42.95,32.29,0.01,0.07,16.41,0,0,16.48,0,4,5,36,24,0,60,0
experienced,356,698,86,Like,0,21.05,1,28.24,17.2,0.13,0.66,19.35,0,0,20.01,0,2,4,12,18,0,30,0
experienced,261,347,84,Follow,0,17.22,0,114.23,19.6,-0.02,0.1,2.15,0,0,2.26,0,2,3,12,12,0,24,0
experienced,348,867,84,Comment,0,83.01,0,31.54,84.21,-0.04,0.18,18.69,0,0,18.88,0,2,1,12,0,0,12,0
beginner,56,48,55,Follow,0,84.81,5,26.85,62.3,0.81,4.04,19.63,0,0,23.67,0,2,1,12,0,0,12,0
experienced,79,460,83,Follow,0,32.35,7,74.37,32.24,0.0,0.01,10.13,0,0,10.13,0,4,6,36,30,0,66,0
beginner,54,94,50,Comment,0,150.55,1,33.65,193.7,-1.25,6.23,18.27,0,0,24.5,0,2,1,12,0,5,17,0
beginner,19,67,46,Comment,0,136.6,2,50.36,180.75,-0.86,4.3,14.93,0,0,19.23,0,4,3,36,12,0,48,0
experienced,120,525,81,Follow,0,59.86,14,66.17,63.76,-0.06,0.29,11.77,0,0,12.06,0,1,1,0,0,0,0,0
power,505,14056,92,Like,0,12.94,7,12.23,16.55,-0.27,1.36,22.55,0,0,23.92,0,2,2,12,6,0,18,0
experienced,131,636,87,Comment,0,82.53,8,90.46,78.32,0.05,0.23,6.91,0,0,7.14,0,4,7,36,36,0,72,0
new,7,9,35,Follow,0,43.19,2,74.8,51.16,-0.11,0.53,10.04,0,0,10.57,0,2,1,12,0,0,12,0
experienced,297,197,86,Like,0,22.86,3,16.06,26.39,-0.21,1.03,21.79,0,0,22.82,0,1,1,0,0,0,0,0
experienced,355,523,90,Like,0,34.64,1,28.96,35.01,-0.01,0.06,19.21,0,0,19.27,0,1,3,0,12,0,12,0
beginner,51,53,65,Comment,0,106.64,5,67.06,125.58,-0.28,1.39,11.59,0,0,12.98,0,2,1,12,0,0,12,0
beginner,24,93,42,Follow,0,18.17,0,63.08,25.19,-0.11,0.55,12.38,0,0,12.93,0,2,7,12,36,0,48,0
new,13,3,48,Follow,0,38.8,1,104.42,28.62,0.1,0.48,4.12,0,0,4.6,0,2,1,12,0,0,12,0
experienced,203,370,83,Comment,0,120.47,3,52.15,116.91,0.07,0.33,14.57,0,0,14.9,0,2,2,12,6,0,18,0
beginner,17,80,54,Like,0,27.8,6,42.66,30.06,-0.05,0.26,16.47,0,0,16.73,0,3,8,24,42,0,66,0
experienced,293,708,89,Follow,0,30.14,7,98.78,38.83,-0.09,0.44,5.24,0,0,5.68,0,1,3,0,12,0,12,0
experienced,236,857,90,Like,1,18.9,3,40.18,20.96,-0.05,0.25,16.96,0,0,17.21,0,1,2,0,6,5,11,0
new,10,0,26,Follow,0,34.72,2,23.27,35.75,-0.04,0.21,20.35,0,0,20.56,0,2,1,12,0,5,17,0
experienced,363,579,68,Comment,0,66.54,1,72.41,68.33,-0.02,0.12,10.52,0,0,10.64,0,2,2,12,6,0,18,0
beginner,42,62,40,Follow,0,88.51,1,45.39,62.89,0.55,2.76,15.92,0,0,18.68,0,1,1,0,0,0,0,0
experienced,308,645,75,Like,0,20.29,2,105.47,26.27,-0.06,0.28,3.91,0,0,4.19,0,1,2,0,6,0,6,0
experienced,288,522,88,Like,0,25.77,4,56.37,19.74,0.11,0.53,13.73,0,0,14.25,0,4,4,36,18,0,54,0
new,14,4,48,Like,0,78.4,8,71.64,91.0,-0.17,0.87,10.67,0,0,11.54,0,4,4,36,18,5,59,0
power,225,8446,80,Like,0,10.58,8,25.66,10.37,0.01,0.04,19.87,0,0,19.91,0,1,1,0,0,5,5,0
new,4,6,32,Follow,0,36.59,4,112.94,41.8,-0.05,0.23,2.41,0,0,2.64,0,2,2,12,6,0,18,0
beginner,58,62,52,Comment,0,155.08,6,104.02,170.77,-0.15,0.75,4.2,0,0,4.94,0,1,1,0,0,0,0,0
beginner,33,28,47,Follow,0,76.25,7,101.5,90.32,-0.14,0.69,4.7,0,0,5.39,0,2,2,12,6,0,18,0
experienced,95,205,78,Comment,0,100.95,7,95.25,77.08,0.25,1.24,5.95,0,0,7.19,0,2,3,12,12,5,29,0
beginner,29,50,70,Comment,0,168.79,17,53.67,147.5,0.39,1.95,14.27,0,0,16.21,0,1,2,0,6,0,6,0
beginner,49,39,59,Like,1,65.78,0,30.5,77.91,-0.39,1.93,18.9,0,0,20.83,0,2,1,12,0,5,17,0
experienced,285,628,68,Follow,0,15.27,2,101.8,11.08,0.04,0.2,4.64,0,0,4.84,0,1,2,0,6,0,6,0
new,1,9,47,Comment,0,118.14,19,80.56,149.71,-0.39,1.94,8.89,0,0,10.82,0,1,3,0,12,5,17,0
power,1089,3811,93,Follow,0,35.01,8,25.31,26.45,0.33,1.63,19.94,0,0,21.57,0,4,5,36,24,5,65,0
experienced,364,548,88,Comment,0,44.5,7,103.86,31.54,0.12,0.62,4.23,0,0,4.85,0,2,3,12,12,5,29,0
fraud,99,686,6,Follow,0,37.57,2,96.61,42.35,-0.05,0.25,5.68,0,0,5.92,0,6,4,60,18,10,88,1
fraud,486,625,54,Comment,0,76.53,1,161.73,91.3,-0.09,0.45,0.0,0,0,0.45,0,9,12,96,66,20,182,1
experienced,138,303,81,Comment,0,89.99,4,74.45,76.85,0.17,0.87,10.11,0,0,10.98,0,1,2,0,6,0,6,0
beginner,23,70,42,Follow,0,83.51,4,108.06,102.21,-0.17,0.86,3.39,0,0,4.25,0,2,3,12,12,0,24,0
experienced,150,563,79,Like,0,13.9,20,30.09,16.58,-0.09,0.43,18.98,0,0,19.41,0,2,2,12,6,5,23,0
new,1,6,36,Like,0,96.19,2,49.58,91.6,0.09,0.45,15.08,0,0,15.54,0,2,3,12,12,0,24,0
beginner,26,71,52,Comment,0,204.68,1,47.45,265.05,-1.25,6.23,15.51,0,0,21.74,0,2,3,12,12,5,29,0
beginner,59,83,59,Follow,0,78.84,2,101.1,95.26,-0.16,0.8,4.78,0,0,5.58,0,2,2,12,6,0,18,0
power,698,6565,83,Like,0,16.2,0,28.62,21.88,-0.19,0.96,19.28,0,0,20.24,0,2,1,12,0,5,17,0
fraud,135,193,51,Follow,0,2.71,33,29.29,2.86,-0.0,0.02,19.14,0,0,19.17,0,9,11,96,60,0,156,1
new,8,8,45,Comment,0,158.91,5,117.26,205.24,-0.39,1.96,1.55,0,0,3.51,0,1,2,0,6,0,6,0
experienced,305,375,69,Like,0,22.42,4,21.45,30.37,-0.35,1.77,20.71,0,0,22.48,0,2,2,12,6,0,18,0
experienced,68,563,71,Follow,0,16.37,5,46.73,11.88,0.09,0.47,15.65,0,0,16.13,0,2,1,12,0,0,12,0
new,15,3,38,Follow,0,36.61,2,40.87,27.59,0.22,1.08,16.83,0,0,17.9,0,2,2,12,6,0,18,0
experienced,357,281,66,Follow,0,26.31,2,101.52,25.9,0.0,0.02,4.7,0,0,4.72,0,1,1,0,0,0,0,0
beginner,23,82,41,Follow,0,69.61,4,91.6,51.56,0.19,0.97,6.68,0,0,7.66,0,2,1,12,0,0,12,0
experienced,200,759,67,Comment,0,90.78,2,85.43,119.37,-0.33,1.65,7.91,0,0,9.57,0,2,2,12,6,0,18,0
beginner,49,29,56,Comment,0,109.4,2,51.89,99.88,0.18,0.9,14.62,0,0,15.52,0,2,1,12,0,5,17,0
experienced,231,656,67,Like,0,28.51,2,88.36,38.28,-0.11,0.55,7.33,0,0,7.87,0,3,3,24,12,0,36,0
experienced,206,287,74,Comment,0,53.96,0,19.88,43.49,0.5,2.51,21.02,0,0,23.53,0,3,7,24,36,5,65,0
experienced,68,971,71,Follow,0,25.89,3,111.86,26.15,-0.0,0.01,2.63,0,0,2.64,0,2,2,12,6,0,18,0
experienced,226,260,81,Like,0,24.88,6,102.35,22.63,0.02,0.11,4.53,0,0,4.64,0,1,1,0,0,0,0,0
experienced,98,434,78,Like,0,13.92,2,66.48,19.12,-0.08,0.39,11.7,0,0,12.09,0,2,1,12,0,0,12,0
new,3,1,36,Like,0,66.9,2,65.14,92.45,-0.39,1.93,11.97,0,0,13.9,0,1,1,0,0,5,5,0
new,6,5,22,Follow,0,105.69,6,76.78,110.83,-0.07,0.33,9.64,0,0,9.98,0,3,8,24,42,5,71,0
beginner,21,19,46,Like,0,21.07,6,100.49,21.99,-0.01,0.05,4.9,0,0,4.95,0,1,3,0,12,0,12,0
fraud,229,540,27,Comment,0,7.64,17,7.31,6.6,0.13,0.63,23.54,0,0,24.17,0,5,13,48,72,20,140,1
experienced,98,568,67,Follow,0,31.17,0,18.57,36.3,-0.26,1.31,21.29,0,0,22.6,0,1,3,0,12,0,12,0
beginner,28,65,43,Comment,0,127.2,0,83.82,147.68,-0.24,1.21,8.24,0,0,9.44,0,2,2,12,6,0,18,0
beginner,21,53,62,Like,0,28.14,5,24.52,37.88,-0.38,1.91,20.1,0,0,22.0,0,2,4,12,18,0,30,0
experienced,265,115,80,Comment,0,112.48,8,89.95,93.5,0.21,1.04,7.01,0,0,8.05,0,1,3,0,12,0,12,0
new,13,6,46,Follow,0,71.23,5,83.52,64.79,0.08,0.38,8.3,0,0,8.68,0,2,1,12,0,0,12,0
experienced,84,295,71,Like,0,10.88,10,15.57,11.21,-0.02,0.1,21.89,0,0,21.98,0,1,1,0,0,0,0,0
fraud,267,445,53,Follow,0,2.72,27,170.64,3.64,-0.01,0.03,0.0,0,0,0.03,0,6,8,60,42,50,152,1
experienced,352,427,83,Like,1,27.65,4,76.63,33.61,-0.08,0.38,9.67,0,0,10.06,0,1,3,0,12,0,12,0
experienced,279,979,77,Like,0,30.89,8,108.53,22.29,0.08,0.39,3.29,0,0,3.69,0,1,1,0,0,0,0,0
experienced,341,567,87,Follow,0,52.29,6,99.23,46.12,0.06,0.31,5.15,0,0,5.46,0,2,2,12,6,0,18,0
fraud,99,177,39,Like,0,2.79,22,165.66,2.2,0.0,0.02,0.0,0,0,0.02,0,1,5,0,24,0,24,1
experienced,68,985,71,Comment,0,92.74,2,91.7,99.51,-0.07,0.37,6.66,0,0,7.03,0,2,3,12,12,0,24,0
beginner,21,98,70,Follow,0,18.99,8,119.45,22.83,-0.03,0.16,1.11,0,0,1.27,0,3,7,24,36,5,65,0
experienced,346,165,70,Follow,0,23.54,7,89.8,20.65,0.03,0.16,7.04,0,0,7.2,0,1,2,0,6,0,6,0
new,5,7,44,Comment,0,84.18,1,46.2,104.88,-0.44,2.19,15.76,0,0,17.95,0,1,2,0,6,0,6,0
fraud,310,290,59,Comment,0,11.64,16,43.18,12.99,-0.03,0.15,16.36,0,0,16.52,0,3,7,24,36,35,95,1
new,3,1,35,Like,0,43.46,2,65.47,49.86,-0.1,0.48,11.91,0,0,12.39,0,2,2,12,6,0,18,0
fraud,79,527,47,Like,1,4.05,30,79.22,3.06,0.01,0.06,9.16,0,0,9.22,0,10,13,108,72,20,200,1
power,450,14816,85,Follow,0,23.83,17,12.23,20.9,0.22,1.11,22.55,0,0,23.66,0,2,1,12,0,0,12,0
fraud,255,552,33,Like,0,20.07,3,67.86,17.32,0.04,0.2,11.43,0,0,11.63,0,4,10,36,54,50,140,1
experienced,136,564,76,Follow,0,62.14,2,24.53,63.69,-0.06,0.3,20.09,0,0,20.4,0,2,2,12,6,0,18,0
new,1,1,27,Comment,0,150.17,3,96.19,193.78,-0.45,2.24,5.76,0,0,8.0,0,1,3,0,12,0,12,0
experienced,333,740,68,Like,0,9.23,14,113.39,9.16,0.0,0.0,2.32,0,0,2.33,0,1,2,0,6,0,6,0
experienced,215,688,85,Follow,0,33.99,4,116.86,38.7,-0.04,0.2,1.63,0,0,1.83,0,3,8,24,42,0,66,0
beginner,26,10,46,Follow,0,42.39,4,15.84,43.7,-0.08,0.39,21.83,0,0,22.22,0,4,5,36,24,0,60,0
